playerA,PlayerB,who_win,Aset1,Aset2,Aset3,Aset4,Aset5,Bset1,Bset2,Bset3,Bset4,Bset5,Exact Number of Sets,Total Points,First Game Winner,Sets Decided by Extra Points
344926,345539,0,11,11,11,-,-,6,6,8,-,-,3,53,0,0
345704,345339,1,12,12,11,7,6,10,14,8,11,11,5,102,0,2
345225,345228,1,12,9,7,-,-,14,11,11,-,-,3,64,1,1
344532,343608,1,6,10,7,-,-,11,12,11,-,-,3,57,1,1
345706,345539,0,11,8,10,11,11,8,11,12,9,9,5,100,0,1
345703,345704,1,4,4,11,2,-,11,11,9,11,-,4,63,1,0
345245,345225,0,11,11,12,-,-,6,8,10,-,-,3,58,0,1
343608,345348,1,7,11,11,10,8,11,9,9,12,11,5,99,1,1
344926,344532,1,5,10,4,-,-,11,12,11,-,-,3,53,1,1
345705,345339,0,11,2,2,11,11,9,11,11,9,8,5,85,0,0
345229,345228,1,8,8,7,-,-,11,11,11,-,-,3,56,1,0
345706,343608,0,8,11,8,11,13,11,9,11,5,11,5,98,1,1
344532,345539,0,11,7,11,9,11,2,11,6,11,8,5,87,0,0
345339,345703,0,11,11,10,15,-,7,6,12,13,-,4,85,0,2
345228,345245,1,11,11,7,8,5,6,2,11,11,11,5,83,0,0
344926,345348,1,4,7,9,-,-,11,11,11,-,-,3,53,1,0
345706,344532,1,12,4,5,7,-,10,11,11,11,-,4,71,0,1
345705,345704,1,12,4,8,11,8,10,11,11,9,11,5,95,0,1
345229,345225,1,9,8,3,-,-,11,11,11,-,-,3,53,1,0
344926,343608,1,5,12,9,11,9,11,10,11,3,11,5,92,1,1
345539,345348,1,5,3,9,-,-,11,11,11,-,-,3,50,1,0
345705,345703,1,10,7,12,2,-,12,11,10,11,-,4,75,1,2
345229,345245,1,9,9,12,4,-,11,11,10,11,-,4,77,1,1
345706,344926,0,5,13,9,11,11,11,11,11,4,5,5,91,1,1
344532,345348,1,8,12,8,4,-,11,10,11,11,-,4,75,1,1
345339,345704,1,5,11,8,5,-,11,7,11,11,-,4,69,1,0
345228,345225,0,12,7,11,11,-,10,11,4,9,-,4,75,0,1
343608,345539,0,11,9,11,12,-,7,11,6,10,-,4,77,0,1
345704,345703,0,11,11,12,-,-,7,6,10,-,-,3,57,0,1
345225,345245,1,14,4,6,12,8,12,11,11,10,11,5,99,0,2
345339,345705,1,11,8,11,-,-,13,11,13,-,-,3,67,1,2
345228,345229,0,11,11,11,-,-,6,4,5,-,-,3,48,0,0
344258,344109,1,8,3,10,-,-,11,11,12,-,-,3,55,1,1
344108,344110,1,9,11,7,8,-,11,4,11,11,-,4,72,1,0
344258,344110,1,11,11,10,4,7,7,9,12,11,11,5,93,0,1
344108,344109,1,10,8,11,3,-,12,11,5,11,-,4,71,1,1
344258,344108,1,4,12,10,11,9,11,10,12,9,11,5,99,1,2
344110,344109,1,6,6,11,6,-,11,11,9,11,-,4,71,1,0
344109,344258,1,8,11,11,8,12,11,7,8,11,14,5,101,1,1
344110,344108,0,11,11,11,-,-,7,2,7,-,-,3,49,0,0
344110,344258,1,7,11,9,11,9,11,6,11,3,11,5,89,1,0
344109,344108,0,1,11,11,11,-,11,8,9,8,-,4,70,1,0
344108,344258,1,3,11,6,9,-,11,9,11,11,-,4,71,1,0
344109,344110,1,11,11,5,8,7,6,4,11,11,11,5,85,0,0
344427,345159,1,6,11,5,11,11,11,8,11,8,13,5,95,1,1
343949,344102,1,8,7,11,7,-,11,11,6,11,-,4,72,1,0
343485,343944,0,8,11,11,11,-,11,9,7,6,-,4,74,1,0
344104,345232,1,11,6,1,11,-,7,11,11,13,-,4,71,0,1
345159,345232,0,11,11,11,-,-,7,2,8,-,-,3,50,0,0
343944,344104,1,9,11,7,13,-,11,9,11,15,-,4,86,1,1
344427,343949,1,6,11,11,9,7,11,6,3,11,11,5,86,1,0
344102,343485,0,15,11,11,-,-,13,6,5,-,-,3,61,0,1
343485,344427,0,11,11,16,-,-,6,3,14,-,-,3,61,0,1
343949,345159,1,9,7,6,-,-,11,11,11,-,-,3,55,1,0
345232,343944,1,11,6,12,8,-,6,11,14,11,-,4,79,0,1
344104,344102,1,6,2,9,-,-,11,11,11,-,-,3,50,1,0
345159,343944,1,9,11,4,9,-,11,7,11,11,-,4,73,1,0
344102,345232,1,9,7,11,11,8,11,11,8,4,11,5,91,1,0
343949,343485,0,12,11,13,-,-,10,8,11,-,-,3,65,0,2
344427,344104,1,11,11,6,10,6,6,6,11,12,11,5,90,0,1
343485,345159,0,6,11,11,13,11,11,6,9,15,6,5,99,1,1
344104,343949,1,8,9,4,-,-,11,11,11,-,-,3,54,1,0
345232,344427,1,8,10,9,-,-,11,12,11,-,-,3,61,1,1
343944,344102,0,11,11,5,11,-,9,9,11,8,-,4,75,0,0
344427,343944,0,11,11,11,-,-,8,4,9,-,-,3,54,0,0
345159,344102,1,7,7,11,8,-,11,11,8,11,-,4,74,1,0
343485,344104,0,9,11,11,11,-,11,6,5,7,-,4,71,1,0
343949,345232,0,9,11,11,14,11,11,9,6,16,8,5,106,1,1
345232,343485,0,11,16,7,11,-,8,14,11,3,-,4,81,0,1
344104,345159,0,11,11,12,-,-,5,5,10,-,-,3,54,0,1
343944,343949,1,6,8,9,-,-,11,11,11,-,-,3,56,1,0
344102,344427,0,11,11,8,11,-,7,6,11,7,-,4,72,0,0
344433,344926,1,8,7,13,10,-,11,11,11,12,-,4,83,1,2
344199,344912,0,11,6,11,11,11,5,11,3,13,5,5,87,0,1
344436,345734,1,12,4,7,9,-,10,11,11,11,-,4,75,0,1
344199,344926,0,8,11,9,11,11,11,5,11,4,6,5,87,1,0
344433,344436,1,7,11,11,14,6,11,8,7,16,11,5,102,1,1
345734,344912,1,4,9,7,-,-,11,11,11,-,-,3,53,1,0
344436,344926,1,11,12,11,2,-,13,10,13,11,-,4,83,1,3
344199,345734,1,7,8,13,-,-,11,11,15,-,-,3,65,1,1
344199,344436,0,11,16,11,-,-,7,14,3,-,-,3,62,0,1
344433,344912,1,11,5,5,12,-,9,11,11,14,-,4,78,0,1
344433,345734,0,11,11,11,11,-,7,13,9,2,-,4,75,0,1
344926,344912,0,11,11,6,14,-,9,9,11,12,-,4,83,0,1
344436,344912,0,11,11,11,-,-,9,2,4,-,-,3,48,0,0
344199,344433,0,9,11,11,5,11,11,6,9,11,9,5,93,1,0
345734,344926,1,6,10,6,-,-,11,12,11,-,-,3,56,1,1
344110,344258,1,5,5,7,-,-,11,11,11,-,-,3,50,1,0
344108,344109,1,11,12,11,6,5,7,14,8,11,11,5,96,0,1
344110,344109,1,1,6,9,-,-,11,11,11,-,-,3,49,1,0
344108,344258,1,7,17,5,7,-,11,15,11,11,-,4,84,1,1
344110,344108,1,7,11,11,9,-,11,13,7,11,-,4,80,1,1
344109,344258,1,10,11,8,12,9,12,3,11,10,11,5,97,1,2
344258,344110,0,9,11,3,11,11,11,9,11,8,5,5,89,1,0
344109,344108,1,8,8,9,-,-,11,11,11,-,-,3,58,1,0
344109,344110,0,12,11,11,-,-,10,9,7,-,-,3,60,0,1
344258,344108,1,3,6,9,-,-,11,11,11,-,-,3,51,1,0
344108,344110,0,13,11,11,14,-,15,8,9,12,-,4,93,1,2
344258,344109,1,7,5,7,-,-,11,11,11,-,-,3,52,1,0
345232,343944,0,11,11,8,11,-,8,7,11,5,-,4,72,0,0
345503,345504,1,8,7,6,-,-,11,11,11,-,-,3,54,1,0
345340,345702,1,11,8,10,4,-,9,11,12,11,-,4,76,0,1
345241,345501,0,11,11,11,-,-,8,2,9,-,-,3,52,0,0
345503,345501,0,11,3,11,12,-,5,11,5,10,-,4,68,0,1
345340,345498,1,5,16,11,10,5,11,14,8,12,11,5,103,1,2
345241,345504,0,8,11,11,11,11,11,7,8,13,7,5,98,1,1
343828,345232,1,11,8,5,11,5,6,11,11,8,11,5,87,0,0
345503,345241,0,3,8,13,11,11,11,11,11,6,9,5,94,1,1
345702,345498,1,10,9,11,6,-,12,11,4,11,-,4,74,1,1
345501,345504,0,11,7,7,12,11,5,11,11,10,9,5,94,0,1
345504,345503,0,9,11,11,11,-,11,7,9,9,-,4,78,1,0
345501,345241,0,9,3,11,13,11,11,11,6,11,5,5,91,1,1
345702,345340,0,11,11,11,-,-,9,3,3,-,-,3,48,0,0
345232,345345,1,2,12,4,5,-,11,10,11,11,-,4,66,1,1
345501,345503,0,6,11,7,11,11,11,4,11,8,7,5,87,1,0
343828,343944,0,11,11,11,-,-,5,2,6,-,-,3,46,0,0
345504,345241,1,8,4,12,7,-,11,11,10,11,-,4,74,1,1
345498,345340,0,11,12,11,11,-,4,14,9,9,-,4,81,0,1
345241,345503,1,7,11,9,9,-,11,9,11,11,-,4,78,1,0
345498,345702,1,12,6,8,-,-,14,11,11,-,-,3,62,1,1
345504,345501,0,11,8,12,11,-,5,11,10,6,-,4,74,0,1
343828,345345,1,11,4,11,5,4,8,11,7,11,11,5,83,0,0
345339,345704,1,11,11,7,8,7,9,3,11,11,11,5,89,0,0
345345,343944,0,10,11,13,11,-,12,9,11,6,-,4,83,1,2
345705,345703,1,11,6,11,7,-,8,11,13,11,-,4,78,0,1
345339,345703,0,11,11,8,11,-,8,8,11,9,-,4,77,0,0
344682,344532,0,12,6,11,11,-,10,11,9,7,-,4,77,0,1
345348,344926,1,6,7,9,-,-,11,11,11,-,-,3,55,1,0
345705,345704,0,8,11,11,11,-,11,9,8,9,-,4,78,1,0
343930,345347,0,9,11,11,11,-,11,8,6,9,-,4,76,1,0
344682,344926,1,17,9,10,7,-,15,11,12,11,-,4,92,0,2
345339,345705,0,10,10,11,11,11,12,12,7,9,7,5,100,1,2
345348,343930,0,11,11,12,-,-,5,6,10,-,-,3,55,0,1
345347,344532,0,11,5,9,11,14,9,11,11,9,12,5,102,0,1
345703,345704,0,11,11,11,-,-,7,8,2,-,-,3,50,0,0
343930,344926,0,11,11,11,-,-,6,8,7,-,-,3,54,0,0
344682,345347,1,3,11,1,12,11,11,7,11,10,13,5,90,1,2
345704,345339,1,12,7,4,11,12,10,11,11,5,14,5,97,0,2
344682,343930,1,8,12,11,5,6,11,10,5,11,11,5,90,1,1
345348,344532,1,7,13,11,9,7,11,11,9,11,11,5,100,1,1
345703,345705,1,14,11,8,10,10,12,8,11,12,12,5,108,0,3
344926,344532,1,4,7,4,-,-,11,11,11,-,-,3,48,1,0
345348,345347,1,4,7,8,-,-,11,11,11,-,-,3,52,1,0
345703,345339,1,2,11,5,6,-,11,8,11,11,-,4,65,1,0
343930,344532,0,11,8,11,11,11,9,11,13,9,5,5,99,0,1
344682,345348,0,11,11,11,-,-,9,5,9,-,-,3,56,0,0
345704,345705,0,13,11,11,-,-,11,5,7,-,-,3,58,0,1
345347,344926,0,12,11,6,11,-,10,8,11,8,-,4,77,0,1
345705,345339,0,16,13,11,-,-,14,11,8,-,-,3,73,0,2
345704,345703,0,11,11,14,-,-,5,8,12,-,-,3,61,0,1
345552,345553,0,9,11,10,11,11,11,7,12,9,5,5,96,1,1
345351,345350,0,11,11,11,-,-,6,6,5,-,-,3,50,0,0
345552,345350,1,10,8,11,11,7,12,11,9,8,11,5,98,1,1
345351,345553,0,11,11,11,-,-,3,6,6,-,-,3,48,0,0
345552,345351,0,5,12,11,11,-,11,10,4,7,-,4,71,1,1
345350,345553,1,11,11,10,5,7,9,9,12,11,11,5,96,0,1
345553,345552,1,9,10,11,5,-,11,12,6,11,-,4,75,1,1
345350,345351,1,11,4,8,1,-,8,11,11,11,-,4,65,0,0
